1,5
2,6
3,7
4,9
5,10
6,10
7,10
8,10
9,11
10,12
11,15
12,17
13,19
14,20
15,20
16,21
17,22
18,26
19,29
20,34
21,37
22,39
23,41
24,42
25,47
26,51
27,60
28,66
29,73
30,78
31,81
32,88
33,93
34,107
35,117
36,133
37,144
38,154
39,166
40,174
41,195
42,210
43,240
44,261
45,287
46,310
47,328
48,361
49,384
50,435
51,471
52,527
53,571
54,615
55,671
56,712
57,796
58,855
59,962
60,1042
61,1142
62,1242
63,1327
64,1467
65,1567
66,1758
67,1897
68,2104
69,2284
70,2469
71,2709
72,2894
73,3225
74,3464
75,3862
76,4181
77,4573
78,4993
79,5363
80,5934
81,6358
82,7087
83,7645
84,8435
85,9174
86,9936
87,10927
88,11721
89,13021
90,14003
91,15522
92,16819
93,18371
94,20101
95,21657
96,23948
97,25724
98,28543
99,30822
100,33893
101,36920
102,40028
103,44049
104,47381
105,52491
106,56546
107,62436
108,67742
109,73921
110,80969
111,87409
112,96540
113,103927
114,114927
115,124288
116,136357
117,148711
118,161330
119,177509
120,191336
121,211467
122,228215
123,251284
124,272999
125,297687
126,326220
127,352666
128,388976
129,419551
130,462751
131,501214
132,548971
133,599219
134,650353
135,715196
136,772217
137,851727
138,920765
139,1011722
140,1100433
141,1199324
142,1314415
143,1422570
144,1566923
145,1692982
146,1863449
147,2021198
148,2211046
149,2414848
150,2621894
151,2881338
152,3115552
153,3430372
154,3714180
155,4074495
156,4436046
157,4832940
158,5296186
159,5737446
160,6311710
161,6829732
162,7504867
163,8150226
164,8907435
165,9732232
166,10570386
167,11607896
168,12567178
169,13816577
170,14979958
171,16412302
172,17882458
173,19477821
174,21340128
175,23137564
176,25424473
177,27547136
178,30228879
179,32862416
180,35890123
